,영화코드,영화명,개봉일,대표국적,장르,관람객평점,평론가평점,네티즌평점,남자평점,여자평점,관객수
169,175318,너의 췌장을 먹고 싶어,181115,일본,모험,0.865,0.733,0.8590000000000001,0.823,0.7829999999999999,52355
179,136872,미녀와 야수,170316,미국,모험,0.912,0.7,0.9209999999999999,0.8029999999999999,0.895,5138328
186,150198,너의 이름은.,170104,일본,모험,0.915,0.755,0.9179999999999999,0.875,0.847,3637608
187,132626,슈퍼배드 3,170726,미국,모험,0.888,0.5,0.912,0.8079999999999999,0.88,3324874
197,129094,보스 베이비,170503,미국,모험,0.897,0.52,0.91,0.7509999999999999,0.867,2452245
200,130849,모아나,170112,미국,모험,0.935,0.64,0.961,0.8640000000000001,0.968,2310206
233,101904,트롤,170216,미국,모험,0.894,0.55,0.914,0.7509999999999999,0.91,675966
234,116233,패신저스,170104,미국,모험,0.8140000000000001,0.55,0.836,0.8170000000000001,0.764,668576
237,176670,컨택트,170202,미국,모험,0.0,0.0,0.0,0.0,0.0,634150
239,159037,메리와 마녀의 꽃,171207,일본,모험,0.802,0.583,0.743,0.7809999999999999,0.518,535331
244,152396,카3: 새로운 도전,170713,미국,모험,0.8740000000000001,0.55,0.889,0.787,0.883,487916
248,159054,명탐정 코난:진홍의 연가,170802,일본,모험,0.903,0.6,0.922,0.79,0.937,450043
252,155484,터닝메카드W: 블랙미러의 부활,170118,한국,모험,0.9,0.873,0.0,0.674,0.877,429933
253,118966,스머프: 비밀의 숲,170428,미국,모험,0.873,0.7,0.898,0.8,0.8590000000000001,427764
256,121052,넛잡 2,171003,한국,모험,0.875,0.5,0.9179999999999999,0.882,0.9420000000000001,411787
258,144379,러빙 빈센트,171109,영국,모험,0.9309999999999999,0.75,0.9670000000000001,0.902,0.976,384540
261,156675,눈의 여왕 3: 눈과 불의 마법대결,170104,러시아,모험,0.846,0.856,0.0,0.92,0.919,366442
263,185755,플립,170712,미국,모험,0.0,0.0,0.0,0.0,0.0,355617
268,156477,극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,170720,일본,모험,0.879,0.861,0.0,0.7909999999999999,0.9129999999999999,333184
272,165025,빅풋 주니어,170809,벨기에,모험,0.895,0.885,0.0,0.7979999999999999,0.945,320545
274,153964,목소리의 형태,170509,일본,모험,0.8859999999999999,0.76,0.884,0.855,0.7929999999999999,276131
279,156200,극장판 요괴워치: 하늘을 나는 고래와 더블세계다냥!,170927,일본,모험,0.871,0.5,0.872,0.596,0.743,215203
281,175978,발레리나,170209,프랑스,모험,0.0,0.0,0.0,0.0,0.0,202916
288,153279,극장판 도라에몽: 진구의 남극 꽁꽁 대모험,170810,일본,모험,0.88,0.6,0.9279999999999999,0.86,0.9670000000000001,167052
292,125439,레고 닌자고 무비,170928,미국,모험,0.882,0.4,0.882,0.6509999999999999,0.8740000000000001,154966
294,132627,레고 배트맨 무비,170209,미국,모험,0.882,0.667,0.892,0.813,0.882,148760
295,161847,극장판 또봇: 로봇군단의 습격,170427,한국,모험,0.0,0.6,0.9790000000000001,0.86,0.973,141865
296,167035,극장판 에그엔젤 코코밍: 푸르밍과 두근두근 코코밍 세계,170907,일본,모험,0.0,0.8029999999999999,0.0,0.767,0.867,137052
300,158849,명탐정 코난: 에피소드 원-작아진 명탐정,170208,일본,모험,0.0,0.629,0.0,0.5660000000000001,0.6679999999999999,128472
301,153951,루돌프와 많이있어,161228,일본,모험,0.885,0.638,0.9209999999999999,0.855,0.92,126483
303,157500,마이펫 오지,170216,스페인,모험,0.8190000000000001,0.82,0.0,0.867,0.807,124318
305,159408,극장판 소드 아트 온라인 -오디널 스케일-,170223,일본,모험,0.938,0.893,0.0,0.8370000000000001,0.9359999999999999,120667
306,149050,짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,170125,일본,모험,0.888,0.882,0.0,0.848,0.953,119197
308,164290,킹 오브 프리즘 - 프라이드 더 히어로,170610,일본,모험,0.997,0.9129999999999999,0.0,0.506,0.977,119135
311,163027,베이블레이드 버스트 갓 : 갓 발키리의 탄생,170601,일본,모험,0.0,0.7490000000000001,0.0,0.7,0.773,109358
312,174652,라이언,170201,호주,모험,0.0,0.0,0.0,0.0,0.0,104439
316,94183,슈퍼 빼꼼: 스파이 대작전,170503,한국,모험,0.8270000000000001,0.45,0.873,0.8809999999999999,0.853,99693
321,164968,노 게임 노 라이프 -제로-,171019,일본,모험,0.8109999999999999,0.7190000000000001,0.0,0.6940000000000001,0.866,90643
326,160464,꼬마참새 리차드: 아프리카 원정대,170615,독일,모험,0.883,0.871,0.0,0.8,0.902,81136
328,165585,드래곤 스펠: 마법 꽃의 비밀,170815,독일,모험,0.0,0.8440000000000001,0.0,0.868,0.8440000000000001,79446
