영화코드,영화명,개봉일,대표국적,장르,관람객평점,평론가평점,네티즌평점,남자평점,여자평점,관객수
100072,스타워즈: 깨어난 포스,151217,미국,액션,0.833,0.755,0.814,0.72,0.817,470645
136842,빅쇼트,160121,미국,드라마,0.82,0.729,0.891,0.867,0.894,446712
94195,헌츠맨: 윈터스 워,160413,미국,액션,0.764,0.495,0.799,0.763,0.815,445009
177977,나를 잊지 말아요,160107,한국,드라마,0,0,0,0,0,425799
142691,나의 소녀시대,160512,대만,멜로/로맨스,0.963,0.68,0.925,0.831,0.926,409537
130786,조선마술사,151230,한국,드라마,0.697,0.463,0.692,0.544,0.763,403919
160437,언더 워터,160713,미국,액션,0,1,0,1,0,384789
134856,클로버필드 10번지,160407,미국,공포,0.757,0.717,0.792,0.778,0.706,357736
140647,위자: 저주의 시작,161109,미국,공포,0.784,0.45,0.751,0.711,0.686,331877
137884,극장판 요괴워치: 염라대왕과 5개의 이야기다냥!,160720,일본,모험,0.854,0.6,0.878,0.743,0.814,330725
144945,아기배달부 스토크,161207,미국,모험,0.896,0.7,0.916,0.824,0.891,322354
101962,캐롤,160204,미국,드라마,0.88,0.896,0.899,0.761,0.915,319357
136687,위대한 소원,160421,한국,드라마,0.831,0.5,0.823,0.806,0.754,308398
129072,스포트라이트,160224,미국,드라마,0.905,0.794,0.937,0.886,0.943,299878
172819,구스범스,160114,미국,모험,0.87,0.567,0.77,0.564,0.716,297356
122473,포인트 브레이크,160107,미국,액션,0.809,0.4,0.788,0.709,0.828,294320
113301,앨빈과 슈퍼밴드: 악동 어드벤처,160204,미국,모험,0.855,0.35,0.87,0.635,0.86,292495
145335,혼숨,161026,한국,공포,0.634,0.433,0.775,0.776,0.747,288016
182408,극장판 안녕 자두야,160504,한국,모험,0,0,0,0,0,280406
125802,비밀은 없다,160623,한국,공포,0.709,0.696,0.694,0.61,0.722,250829
139674,순정,160224,한국,드라마,0.907,0.55,0.924,0.775,0.937,240484
137908,닌자터틀 : 어둠의 히어로,160616,미국,액션,0.802,0.5,0.876,0.838,0.914,235207
133447,드림 쏭,160914,미국,모험,0.865,0.7,0.903,0.861,0.929,234387
136876,독수리 에디,160407,미국,드라마,0.909,0.675,0.946,0.911,0.932,226341
146214,원피스 필름 골드,161208,일본,모험,0.925,0.678,0.938,0.852,0.968,215546
140693,아이 엠 어 히어로,160921,일본,공포,0.767,0.583,0.668,0.639,0.627,212599
122133,남과 여,160225,한국,멜로/로맨스,0.766,0.6,0.833,0.69,0.867,203775
137281,짱구는 못말려 극장판: 나의 이사 이야기 선인장 대습격,160107,일본,모험,0.887,0.867,0,0.833,0.911,202538
152183,"무현, 두 도시 이야기",161026,한국,드라마,0.957,0.6,0.91,0.771,0.966,192668
121061,글로리데이,160324,한국,드라마,0.866,0.575,0.829,0.602,0.861,189221
70826,노트북,41126,미국,모험,0,0,0,0,0,182633
127496,대호,151216,한국,드라마,0.833,0.708,0.839,0.721,0.919,178574
133496,부활,160317,미국,드라마,0.905,0.6,0.876,0.714,0.954,176122
148655,매직브러시,160504,중국,모험,0.782,0.5,0.834,0.839,0.836,172370
180130,조이,160310,미국,드라마,0,0,0,0,0,172253
136824,대배우,160330,한국,드라마,0.725,0.554,0.601,0.531,0.59,169984
133479,빅,160727,미국,모험,0.834,0.5,0.806,0.63,0.688,161196
152169,달빛궁궐,160907,한국,모험,0.788,0.5,0.676,0.511,0.695,153097
114265,어린왕자,151223,프랑스,모험,0.84,0.725,0.908,0.892,0.952,150512
137709,미스컨덕트,160330,미국,액션,0.634,0.367,0.658,0.634,0.642,149095
53152,500일의 썸머,100121,미국,드라마,0.92,0.775,0.884,0.843,0.852,147891
122195,서울역,160817,한국,모험,0.534,0.692,0.384,0.347,0.338,147031
140265,13시간,160303,미국,액션,0.855,0.55,0.846,0.792,0.894,145952
146534,자백,161013,한국,드라마,0.974,0.767,0.975,0.893,0.991,143648
93929,장난감이 살아있다,160907,아르헨티나,모험,0.811,0.5,0.789,0.648,0.739,142977
134135,극장판 아이엠스타 : 꿈의 오디션!,160211,일본,모험,0,0.858,0,0.834,0.9,141351
185860,플로렌스,160824,영국,공포,0,0,0,0,0,139717
147834,로빈슨 크루소,160907,벨기에,모험,0.834,0.7,0.859,0.658,0.873,139392
125444,제 5침공,160225,미국,모험,0.654,0.554,0,0.511,0.665,135874
145336,극장판 꼬마버스 타요의 에이스 구출작전,160121,한국,모험,0.894,0.872,0,0.861,0.871,135398
51787,대니쉬 걸,160217,미국,드라마,0.901,0.697,0.938,0.805,0.957,134079
22126,인생은 아름다워,990306,이탈리아,드라마,0.968,0.834,0.985,0.921,0.98,127325
137340,마이 리틀 자이언트,160810,미국,드라마,0.816,0.677,0.813,0.766,0.711,125800
146508,죽여주는 여자,161006,한국,모험,0,0.745,0.839,0.732,0.914,121444
124238,헤이트풀8,160107,미국,액션,0.895,0.85,0.886,0.853,0.844,120362
144355,감바의 대모험,161110,일본,모험,0.898,0.5,0.899,0.731,0.815,117488
145376,최강전사 미니특공대: 영웅의 탄생,160204,한국,모험,0.857,0.84,0,0.712,0.889,117170
148608,다이노소어 어드벤처 : 백악기 공룡대백과,160504,영국,모험,0.739,0.5,0.726,0.541,0.528,112242
134847,피터와 드래곤,160928,미국,모험,0.855,0.7,0.863,0.736,0.869,109137
184912,킹 오브 프리즘,160811,일본,모험,0.993,0.629,0,0.217,0.841,103852
119453,다이버전트 시리즈: 얼리전트,160512,미국,액션,0.837,0.45,0.765,0.627,0.853,103556
144310,무서운 이야기 3 : 화성에서 온 소녀,160601,한국,공포,0.504,0.6,0.608,0.569,0.63,97804
137921,바스티유 데이,161013,미국,액션,0.852,0.55,0.844,0.744,0.899,96579
145804,걷기왕,161020,한국,드라마,0.864,0.607,0.813,0.723,0.848,95542
147047,일사각오,160317,한국,드라마,0.955,0.918,0,0.896,0.969,94767
146311,나의 산티아고,160714,독일,드라마,0.838,0.6,0.853,0.772,0.846,94243
146548,태풍이 지나가고,160727,일본,드라마,0.878,0.707,0.903,0.863,0.866,93005
139613,오베라는 남자,160525,스웨덴,드라마,0.917,0.686,0.965,0.925,0.964,92380
127395,크리미널,160622,영국,액션,0.825,0.4,0.835,0.776,0.873,92358
131576,슈퍼 프렌즈,160810,한국,모험,0.881,0.6,0.915,0.775,0.941,89615
174259,룸,160303,아일랜드,드라마,0,0,0,0,0,87673
137010,포켓몬 더 무비 XY 후파: 광륜의 초마신,151223,일본,모험,0.889,0.874,0,0.818,0.929,86193
163133,유스,160107,이탈리아,드라마,0,0,0,0,0,85363
148620,다이노X 탐험대,160504,한국,모험,0.709,0.66,0,0.497,0.541,83319
